mfs_name,status,mfs_transaction_status,created_by,debit_account_number,debit_account_title,credit_account_title,cbs_ft_trace_no,credit_account_number,debit_account_branch_oid,created_on
It,active,success,leastes35,15-009-5328,tz1KxZGcyPYNE86nETCapf3grEXUpzBHv3aa,tz1gcGuKJQaFcAMnAbKYoojZcEPK9Dq25waP,5040688083,86-415-9348,,2024-01-04
Tampflex,active,success,agorcke36,08-802-0473,tz1fBRDPRxYVWsyPm4rANvQiXfbkHMMrv3as,tz1ZjxrgCjJNWu1wRuS5AQ5ExMVmLJHkDXRp,5330396077,26-482-3738,Williams Harbour,2024-01-05
Voyatouch,active,success,nfaiers37,28-028-1232,tz1XwBACPGwx3ViDrYtYBJb7mjJxK138x8PK,tz1KjrBqH239CPZ6UomYxmZJePTXZXaqaFRG,9874497181,52-919-8783,Woodie Woodie,2024-10-09
Flowdesk,inactive,failure,hcattellion38,18-506-1856,tz1Tv53zc7KWiaXXKUyLuBLPs2bAxYNEqT3C,tz1b7CmK9rsV2MYDmobVYnj49mQmQH6BNABU,7552678186,82-192-3447,Atyrau,2024-05-29
Y-find,inactive,success,mspriddle39,23-058-9814,tz1Pm6U94EAzfsY9YKrVRv2XxB1E7CFAGrvQ,tz1hS6MigY4vA1WDrKvv35nPfMfNhv3qXjrv,1121803180,12-560-9853,São Carlos,2024-03-19
Subin,active,failure,dmaidstone3a,91-788-8984,tz1PtJzQqWJRCPAwFH98HZg9UFMYYBbxa5Cv,tz1XgWpvk7x9YYjkkcHhc4PzeNLdfxX8LZKm,0279916396,09-202-6292,Aguadilla,2024-05-25
Treeflex,inactive,success,rmattocks3b,82-331-7168,tz1To6RjLan29TWfsabgmYhc8ZH4ai6zZMqU,tz1SKwgsHqUDCeJFbJ8MUFEEuZU9mTNT6uMG,0939579235,36-734-9316,Springvale,2024-08-10
Biodex,inactive,failure,bizen3c,02-250-0432,tz1Yqt25rwdM8qbehvurgAnCmnnzjiDNipCD,tz1RC9yuivY6RiwjKFs4YAHFWky4Qshn6W3s,1006989943,91-772-3522,Tungsten,2024-05-23
Bitwolf,active,success,akleisel3d,91-823-3280,tz1XKjF4UxXtWrXz7uG9rZs7o2tnEfMFU7CM,tz1bcq6AeqU29mT2YwQbnRi61E1zrV2ewKpr,7477113563,68-385-9551,Mountain Home,2024-05-19
Viva,active,failure,njankiewicz3e,23-012-0706,tz1X2dCYaex5EsihsGQTnxUuCQ2eACJpwhwa,tz1YMpN5yDPHR6MQN3LKEatMSti26fkxwuXs,8214209617,00-807-3161,Koumala,2024-11-01
Prodder,inactive,success,lmccree3f,25-772-2638,tz1apMacg3fSnn2mQx7xM9ndK1tWoQy7Cg8n,tz1QmuEQHGvTtJqVbSuX7qs8EfbV627PUqTn,8786927922,47-675-1108,Concórdia,2024-02-15
Daltfresh,inactive,failure,jmcneillie3g,98-080-6682,tz1SmXjV55Z1VzCZLUnVcVwiT2yDpF7XpDHN,tz1QBsNfVAg5he9GDR6w19sfxrcJrJNjBiLv,1760854549,53-762-2716,Paulatuk,2024-06-20
Rank,active,success,eahrenius3h,96-511-5789,tz1RdMET73rar1FmAvHDh5CYa56tw6ugmKvY,tz1WbP8ccdZ3tbAE3SVdSCtDfq6d3kCPSRVC,4399362774,00-041-7426,Denver,2024-05-25
Andalax,active,failure,lstrongitharm3i,10-912-0006,tz1LDpExs9EUeQoQDsyGGHf4yqMwyJifPoYa,tz1MsaShVpT1u59CNWryFqPSvxEteLfT8gwN,8587683330,52-482-7301,Hawthorne,2024-01-06
Greenlam,inactive,failure,gtill3j,21-169-6812,tz1WdNF127TP1qnzgHK6BrJ9JZDySLiurfXq,tz1MPkZpr47B2Dpwdi2AvmazB8uZSsxbDSPB,3587020086,82-759-3343,Patna,2024-05-16
Voyatouch,active,success,ofrancescuzzi3k,82-293-9635,tz1YthbSwJ24kfEYbC4Wb8fGXWTMmgNX5NS6,tz1WCcbSj2rwv7wySYCV8HVTS2W6G3DD7iZ2,1438302134,08-887-8740,Saint-Laurent-du-Maroni,2023-11-21
Rank,inactive,success,bdiamond3l,38-030-2634,tz1as9hqtLyuRbUb1XpykhMZtEFcefBjzLVU,tz1cvnfBcLY4PET5gG9DDnAyy6LH2Eyf5kFj,5223914791,82-081-8751,Puerto Rico/Manuripi,2024-09-21
Flexidy,inactive,success,jbenterman3m,17-657-9647,tz1UqJfGG6SqfsZj3HPDHGv88hGpnmsHAUTK,tz1WYaACRHo9ZS6ZFwnaVstvjupiL53R1AFy,6138364287,09-941-4577,Naoro Vilage,2024-09-29
Lotstring,inactive,failure,ryanin3n,35-606-6700,tz1ftnYP46U4oPZZPD1NGcwhF3thD7JAU1hL,tz1fSJqjsbAkXmgTpitWXc3oRatWN1vm9CTD,7714439696,92-265-0455,Ontario,2024-04-02
Daltfresh,active,success,mtapley3o,65-467-2295,tz1cyv5Ldn1mzhaTCafsoWNa3ToNVn8rnE3V,tz1baoeydxWrheMibtasNeFZiXBc534WLv77,0928115224,80-975-9514,Halmstad,2023-11-13
Toughjoyfax,active,failure,rgooley3p,95-557-7112,tz1WqPK7mQ8FxsJbzB9T1KfCw4PSLKhQbD15,tz1dMk63ADQwKy7fKp2HcfXSUGrnqEMnsDrx,6586982308,15-175-6249,Vitória,2024-08-20
Zontrax,inactive,failure,hheigl3q,72-019-3660,tz1QGjFiH8PZfjSM98zHv71VPob388yDoFWb,tz1cVRNFLrngxS1yW2hUdR5LfoJQxcz37USS,3737085900,61-756-5534,Ijuí,2024-06-22
Kanlam,inactive,success,mvane3r,08-994-8467,tz1Wwp5SN6rMvTi1ftktfMho5vh3eUYj3JQ1,tz1WfH6YeAnENzyMUBPoxoHSzSHQkTqNX2tC,8242244758,20-760-5937,Tabuk,2024-10-27
Zontrax,inactive,success,abour3s,52-135-7036,tz1XQNJCkNENrDAZnEP5hzfWP2fvYfRgXYvX,tz1hm39iBYtP9uAJnnihrYF3qFveJN33NH2r,7197208874,39-903-3575,Kilaguni,2024-04-30
Subin,inactive,failure,sstanyard3t,04-661-4737,tz1WXRxyjf3DWeB758B7nQmWXtQfTGzL9z3W,tz1PkwukkPPdc2uz7HNdwuizR84pyhAyGQDq,6387690110,93-010-9401,Hattiesburg,2024-10-31
Namfix,active,failure,gmceachern3u,87-516-4729,tz1fReGZ25CaK25gJgXUFX7dEwGehoZWufps,tz1epAkidWf185hayULt9BisR7C4WaguyiCj,0996984518,18-531-4610,Changhai,2024-07-11
Duobam,inactive,failure,sgurnee3v,89-226-9585,tz1Sh2ZoDUst5mv4nQjDWxTi3kexef1xp9NR,tz1bLmhEmwtvtGaF513sEKvTCv9YFuDqduyR,9407673154,15-421-4743,Redstone Arsnl Huntsville,2024-04-07
Temp,inactive,success,sgraveney3w,10-696-7658,tz1Sn4k6iButKZwnihB7nubkYX7KnTAuCsM9,tz1XY2puj5M3USkFPDr8Ua7doqD3Ydj2fmnD,9206425013,02-670-1684,San Miguel de Tucumán,2024-04-23
Fixflex,inactive,failure,psandercock3x,70-201-8161,tz1LiR4a7ZPEL3aPqrQnKFbjRLTqqkGNrVKf,tz1NiTS7WxRzjN1xHpsMX4ZkFhJFFwNQkBEy,2674478594,42-305-3330,Gardner,2024-11-06
Hatity,active,failure,wfrayling3y,72-303-3959,tz1eetWih7TtfWnq6iQ9YEpvNjf8J7r13FEY,tz1TPxznqAQEUPxSg33qwUxTo1X6ba5k6ynS,4267654689,78-226-4451,Geita,2024-06-23
Konklab,active,success,mmatej3z,50-734-2539,tz1TRTMkByxHB3dVhkukw8qbH5wFcKA1Dz7f,tz1KvnLkR3YL2EUGV6EAs1jNrrT4Pc8rJJH8,9345011188,80-223-2205,Tucuruí,2024-10-17
Tampflex,active,failure,bchanning40,65-548-8660,tz1Pw1dQGZKBSNK1XvYG8jT7poH1p3aaEy6Y,tz1etJHBdQC7KowhsgEhApx8VFTt46L598Gq,0499873149,48-743-4463,Sandstone,2024-03-18
Sub-Ex,inactive,failure,jwheatman41,36-125-3561,tz1L2q4DZZ5xewTxvLpBJXqRNTHRvVQpZ8P4,tz1R9RqxB7uHE9Mwc7CZoShPCgAX3yXUASZE,3689656621,87-747-8967,Guajará-Mirim,2023-11-11
Ronstring,active,failure,mrecher42,24-059-5540,tz1Wx1sovQf16mCvhxhUteMYFauTw6hcDAc5,tz1YRc3is189whnza4XSRUd179iw8yQqQPhy,8052665329,57-418-4671,Maxton,2024-03-04
Zaam-Dox,active,success,cdaubney43,73-674-0453,tz1L1VyzzkbiW94qzJWh7TCvGiRXAbS5hSyo,tz1iSJg1Z6hYnq88SmTzofnsGpt84Da19jpD,0985391154,12-365-6569,Worland,2024-05-09
Hatity,inactive,failure,chagart44,29-311-4143,tz1gPb2ASZB7FSJ5UHL31dvmfTQr6uHTPESe,tz1RxGivH9gt5FZf6BhKe6FZBDQTPB4HmKoZ,4632459860,26-088-8933,Vanua Balavu,2023-12-31
Stim,inactive,failure,gpiscotti45,07-876-0559,tz1f37tWWpAjcUpvM8Wg4C7aAfNzKF816SCn,tz1N6vTWwnKET2RxnaWY4PdhxyYipfXsBfvD,0673768163,83-555-6368,Quaqtaq,2023-12-17
Y-find,active,success,asmittoune46,04-290-2892,tz1da8xhGcLKU9q7uMrVVE35EBvZSrLwyrr6,tz1cMe2KE7Ddm1VcePus88XiULjEZF5wSfWs,0421087943,89-015-1094,Changsha,2024-02-21
It,inactive,failure,cannatt47,16-440-4761,tz1bCTNZr7nJvjmC7HNTT7PRzYipPhtsdRBb,tz1iqFEFSS4Ma4BgTaZdS456gLHUpKvtnMuo,7933799221,69-758-8225,Wilmington,2024-10-23
Tres-Zap,inactive,success,hfache48,21-778-5021,tz1Ush4Tq92w2DrKTmyYfFY5XBQU7Cugr1ER,tz1TNjZVMrvwCzkkLZaE6rMPsHKed89NVpaj,2121757260,19-846-5383,Mirpur Khas,2024-09-15
Y-Solowarm,active,failure,ehiorn49,25-554-4284,tz1Pi3qBQ8GPP6T9Gsi3rSToyfv2H1UaCLMR,tz1UquEBFXJEnZydrgxYJ6XYnDexRwMnLSvf,2907774468,28-756-0478,Riyadh,2024-07-26
Cardify,active,failure,vchallin4a,96-407-7545,tz1TgWuSdHuFvQtxk9qUGHfZ6Qewy6WCaHiJ,tz1L4D1LbcUhwLgybm4RwKCgwKXv6W6gzdsk,2588009883,62-050-8307,Aviano (PN),2024-01-27
Cardguard,active,success,bdebiasio4b,72-139-3142,tz1dKPv31ywAzCA52Z47KAev2Af1wtkcjUZJ,tz1cnLbN8DbyHr8eBHKqd8SJbyUjxAPemeoR,2707331503,76-650-7080,Wausau,2023-12-23
Temp,active,success,mthreadgould4c,62-821-5008,tz1YuY8B26gWw1RJVcHCosucY6hdpNiPka7Z,tz1YaZJQLe4ziGALMRiyDswRQGz6YrPJDY7f,9449008604,47-105-7446,Nápoli,2024-10-26
Bamity,active,failure,tmackenny4d,27-090-8841,tz1TGSm5SeDNsK6pgDw9WPYcHaDKYetvKZEi,tz1UahxP4WRJ51FXVa6NSRvE3p2DXzYefqa7,0760230404,74-266-0353,Canberra,2024-10-29
Y-find,active,failure,rroston4e,42-489-3532,tz1eU8rJkD7CsMuwHvzQFwmy6tnMjRRpSNW2,tz1Si3ERzYKgioCV6gpaQPqSdL9UjRFCkAG1,2695478186,59-373-5948,Parkersburg,2024-07-21
Lotlux,active,failure,hepple4f,08-946-7664,tz1PM2d7FCDLTMo4xfqpU6TmX6y1sNudh4f4,tz1ZyAJ3ELE3qxfgqxRVxmX4AfwjQYCAnhdQ,1355452988,12-993-6067,,2024-07-06
Tempsoft,active,success,smcphee4g,98-226-8761,tz1SrhTjqpehdyJMQZUGxqffHiWRuMp7XvpA,tz1SJ1dQqyR1qFyDZ2xvuHtVJv91kV8RJwv5,4381449312,68-440-5968,Petropavlovsk-Kamchatsky,2023-11-09
Zathin,active,failure,msylvaine4h,31-161-0340,tz1Q4pwUjiZzUXvrUapd31Txqh7FjuAbMi8J,tz1RZQU4f1r3AXVAXRwFVAFUgi6DQJ4YcA3Z,4165004782,60-398-6617,,2024-02-05
Duobam,active,success,tdennett4i,43-423-5275,tz1bHTxHACiXpQMWfUQiiWfBACmvkmQNRVHi,tz1TLhHrunP8xbK5cU1q3Ai863UQHbCYNEiT,7928673045,44-102-8837,,2024-08-03
Otcom,inactive,success,edudin4j,23-364-9558,tz1NA3GFeCNz2o9PvP896c7eqxwUHZdbEdAJ,tz1QoFeQFkJE7yvgYF1exRGJg1obs22LDumC,4239191343,63-541-4999,Jizan,2023-12-08
Tempsoft,inactive,failure,hfruchter4k,87-765-1668,tz1cLv2vviuPEbAhJCPqM7gvRqug6NNEeeZV,tz1Ru8HwhX6PzeBJ4mcyXb4MW5KpW9Fkjwxu,9322079959,65-824-1905,Auburn/Lewiston,2024-01-10
Zathin,active,success,sgrangier4l,18-028-7482,tz1Q3NQPjwUpAmGF3KBrcwmmpaL518Jzjpy3,tz1b4pjLCzkkbcveXnxC1tyM1MeDjuQSnZF1,1605065692,39-538-1560,Malay,2024-08-18
Cardify,inactive,success,cpreddle4m,72-646-5664,tz1YR57ccTPaVwStus5PC9sf2ph9JqpLAFN4,tz1aCpKJNoPaxnZAPpTE3fSKpk4x6Tioei3Z,1271501236,48-723-3923,Norilsk,2024-07-02
Holdlamis,active,success,tpassey4n,56-802-8413,tz1adNd8YgAMqCKspk4Qj9ZfTjckZ5fWBeTx,tz1NXAiRdx6rR5ihLXAWBV9osU4FmUFVdG8u,6049468389,67-826-6205,Yotvata,2024-05-30
Asoka,inactive,success,cvasyutichev4o,80-457-1095,tz1e4sKuxX3nWHYanjmKxyBhpL6iCSjRL5aX,tz1XX16tXBdRTfe2rUADkVbig6RqNEZdGfV1,0787383090,69-300-4286,,2024-02-19
Domainer,active,success,elugg4p,73-503-8729,tz1YhvgiJZnxb3Syg85khECggNRJNtnWGs3h,tz1PMtyrH1HpHQdcxaVoZBh2Yi9F4SXrARjz,7389254866,35-868-7045,Grenchen,2024-10-11
Fix San,inactive,failure,jwolfendale4q,51-188-3252,tz1SARCzyCDjqZK9QXPYyXpVRzZBr7ceCLHc,tz1eMT5PUW6uNGFsSv9fKzUtN2FNrFGGuS1K,6053830631,07-771-2306,Taylor,2024-01-22
Rank,active,failure,chamsley4r,50-489-4259,tz1Zpp7sTzdaf17EpRy7ahom8Vr451Vh8KVd,tz1dPMNe2eZ5Xq2DokkhvahAg38sni2PVgrd,0959665609,13-511-9155,Castaway Island,2024-06-05
Flowdesk,inactive,success,nivan4s,10-897-1315,tz1ZdxT6sh8hJFCY4FCjLPbSnkr9HdCjPQWs,tz1cEebG13JUcYLrwsW8BjHzdj9GQRFo2aa7,7407871795,16-873-7722,Alor Island,2024-02-22
Tresom,active,failure,bdaffey4t,59-138-5664,tz1MKLpuw4kmfS5k35cx5KwxqKfw6uNnfF4Z,tz1cfLnE7BuRb4MvDbnE8Fjx5PVQYDnWLeLY,9846784503,04-397-7662,Asosa,2023-11-23
Cookley,inactive,failure,pdeeley4u,06-075-2966,tz1P2Z4dWUCNFeTgtM8wUTqoEPszU672YxwT,tz1humX7jjxBrienR3W5sUNbeQBHVzqRmsvR,6287242191,76-998-8236,Kivalina,2024-06-27
Prodder,inactive,success,kkeller4v,13-879-4579,tz1RUyXUHpGN8mvGX5imD4n6nPGWAZckyoss,tz1QRwYa4KQKHsN1XfqeGiUeYzqyNpRSxqoU,6382414131,46-192-9696,Durgapur,2024-03-28
Wrapsafe,inactive,success,bbotger4w,40-999-6878,tz1RYFAiy5V3rPufGcruMqZd2R7quUcViRJ7,tz1L2eNU8hypC5y9rPUuFYFBybGBqnSG44KS,5112628081,75-845-9652,Taltheilei Narrows,2024-07-06
Gembucket,active,success,abeevers4x,04-448-3727,tz1ZMDdncqtfVWs7Phk3zrcZ1cLWUFeifs8B,tz1fZQZrERyVMdtznZcutkMpsDYRcV4t7H8C,1094079308,18-773-0309,Nanaimo,2024-07-12
Asoka,inactive,failure,lgrunnell4y,70-528-5769,tz1XGaXG7e1PRBvUrZux9tR7PoyRGxyfYpyU,tz1LB4EDGEmwjL6voasqPLwJQwzHwnswDF8M,1651593663,29-811-0723,Joensuu / Liperi,2024-06-11
Latlux,inactive,success,drallinshaw4z,21-608-5681,tz1Sw7yTzr8fWxr3irMpkTSLFA7Dcx2GRWNf,tz1QyUAuPaQK76tKGu1vVYzMFgo9gG83k5yh,7722466125,77-849-1295,Sterling/Rockfalls,2024-06-12
Stringtough,active,success,arostron50,77-041-1833,tz1XowYyULieE54PBcNEK91LwmHVXPfbfnxH,tz1ZXGGjbH2ZG6iXvrZJBLF2W7Z5qZSLqgb8,1411427289,38-313-5961,Langtang,2024-05-01
Andalax,inactive,success,astreather51,59-635-1657,tz1WeVA1dKaGwkXziP3cVGwYb8JfKFapzjVT,tz1NgEBH41ZvCtPeE2fG8iyXtiytjN1wooVd,4316635964,69-930-4962,Poulsbo,2024-05-10
Vagram,active,failure,sarkil52,16-346-7227,tz1YeaZ122jyQaKiwr6MDAUk4hGSUmyPFKQW,tz1ewmg2Kmrp7u9q2p2ZM2Bk1j75T2NXDwRB,6485264353,26-045-7263,Butaritari Atoll,2024-05-29
Tempsoft,inactive,failure,fnapolitano53,38-875-2294,tz1TZVKtwg76zYaE5fFgDtF5NxV9eFVqXqF2,tz1XSmsYKhdwdxq3hvx4t7wQTcsGQt2D7imu,9600476578,13-363-9338,Malden,2024-01-10
Zoolab,active,success,mwells54,35-993-3248,tz1YsFq3zzn73jrN5kjEBZyXTqoRsthSEhD4,tz1ebzyJfXZCnGqTADbdNmjsZxu7V2GVpBRf,5392579302,57-211-3773,St. Mary's,2024-07-09
Sonair,active,success,reffaunt55,49-215-4164,tz1WeWDpBixoP9FwtxSzsnCsTFX7vpmMfTcL,tz1Q7bMh8CRvRDCejXqLEqD52qTBA3rvt54N,8671199304,27-793-4086,Five Mile,2024-04-03
Ventosanzap,inactive,success,gdorsett56,59-468-9819,tz1deFUx2T1tLv2J7jKJQJyV1XLVqS9zRRmF,tz1UkoYLyVqvCGY949dwNfVNTHgNphUGy4gx,5489415525,32-624-9321,Fagurhólsmýri,2024-10-14
Sub-Ex,active,failure,bguppey57,67-348-8629,tz1iirc1NPsgTtLw6co7LKXVNUV4mVmKnYe1,tz1VLyv3ks8ABDUsACskpDcLbgRsSWBaKF1F,7595653975,58-904-4480,Shishmaref,2024-10-22
Tampflex,inactive,success,acarverhill58,98-428-4751,tz1hqBhcHk94LWgxWohzp94SUwhQKKFfikuf,tz1cZFAu8BWhv29fmJdxwi4EemUBhxu56kiU,6789317406,89-415-9085,Tinian Island,2024-06-23
Span,active,success,nhovert59,45-904-8890,tz1fvMKR7eCfEDQNpaJWNx5iu5J8BgRD45Nf,tz1M9F5oy6H3MggFpoHDpS5Svb2sjpmoPVnS,3169035185,71-609-2918,,2024-07-29
Flexidy,inactive,success,obollard5a,34-632-7123,tz1anEwpCnj4sHNLPQm6d1seEfoW95pcXYCZ,tz1f5iTqfLSrdpseAc9u8oM9zYzVhEamjbfr,9673385998,49-235-0859,Tanbar Station,2023-12-16
Fix San,active,failure,ckyteley5b,42-816-8736,tz1fQHEDMNYc7xznskG2Kp6fj9LtGscKLfQr,tz1ZsbwbFELEk8hvZ4NKvNr88MUjV2NryDNY,8503731401,28-700-8520,Porto Nacional,2024-07-25
Andalax,inactive,failure,smerrydew5c,06-392-6151,tz1USrxXNvi1f3FdRbdm45UUb9wKmsfqNVKP,tz1MMHNdLgdJeeAGtFpYSsMJShV2L8nVYyy4,5540142837,97-839-0480,,2024-03-19
Opela,inactive,failure,dmanz5d,64-836-0854,tz1fdPpXWyaq2WUt2xHm18iopNvQpGJtW2H5,tz1XA5a6WYhVrGRCKDpfLzqC6fT3zLmRakoU,2493044746,38-465-6722,Kavalerovo,2024-08-31
Fintone,active,success,jballing5e,03-413-3787,tz1S3Eg7fntAy3Sp7uhN7M5cunojYnLNgtPN,tz1X2E8NRTkBDP7KV2zC5Ayk127FnE6xYnZs,6953842695,65-379-0669,Windarling Mine,2024-01-21
Biodex,active,failure,dwillman5f,17-682-0030,tz1R2xqpWa51NyUnBhSDbyxKsgfGAtfa6beW,tz1Kn4BSdhjyj6NkDyfV8nrErq6W6hfnfCEf,4980371698,37-700-4812,Petersburg,2023-11-16
Pannier,inactive,failure,dmelpuss5g,97-987-5256,tz1V7wvSaYiC1MA4GqEUttiGCfcRjcXpgpDW,tz1Lrz1ti2R9He9pPdM83NLWLSwWvE4ADekA,7969191169,27-339-4086,Boutilimit,2024-02-09
Veribet,inactive,failure,bwint5h,43-083-3083,tz1PS6qTeSMM3K6YnziTtr1RDPdznj4yB7in,tz1NfS51wo7jgTjidvxedVCnLE3JAWH6MvMq,2332655735,40-216-6965,Red Devil,2024-05-28
Kanlam,inactive,failure,rcullington5i,67-657-0695,tz1eLmgSXuQy9gxf7kXe7Z2WEbLdfG6S5wVF,tz1ZBkMdHNkjAfkqQaU64o8NcMDkgJBAXXwL,4051390063,11-769-7986,Quaqtaq,2023-12-17
Bigtax,active,success,dkitchingham5j,32-441-5868,tz1hUHj8o5P8Xa8SDrvnxwLG5tLnnZw5YTwk,tz1ZVhRu1Jncg1bB1BKXDyxsTB7uuPaxos5a,8453817685,66-831-8029,Mukah,2024-04-08
Tresom,active,failure,probart5k,19-735-0425,tz1f1yZ71S792NEWprTEsib7w3WEYNKwB4xq,tz1QGgqon5ebEu3mEqKRXHtwHB9nwMeez3Uf,1278384049,25-292-7011,Ilebo,2023-11-17
Domainer,active,failure,helldred5l,66-797-8942,tz1i141z1Uo53R5VPKFK1hxyBgdZ7QfLGkLQ,tz1Kx1G2RmYJcqcxhXtk5kTzPKs4rAABitT6,0045877009,19-537-6379,Karanambo,2024-08-20
Temp,inactive,failure,tgunn5m,99-257-4666,tz1MdLYNHMjE5tU8fGeKvqAZJSTWPdXp1uvn,tz1MDhSL3qybrWdfgG9K2HvhykueZ31hXc3b,5624747365,56-221-8672,"Bialla, Matalilu, Ewase",2024-07-21
Zamit,active,success,tsalerg5n,42-821-6935,tz1ef5wXb6meJgybnTCk4fozkeus2ffZdAzp,tz1d46kybjq3M3LVGDteceK8MFp4PUcgFeM4,8119970144,12-144-0755,Comitán,2023-11-23
Domainer,inactive,success,cburkman5o,35-667-1707,tz1apAkbJ5RN8X3qbycLfub8K6KgQJPJPcN1,tz1Rgjzxs7zQirGrcu4XUJSFaMgaTJ7LQ5QA,1549235907,03-062-7687,Obihiro,2024-07-08
Transcof,active,failure,dseleway5p,85-658-9653,tz1LjnR4SSpYQ13cUDX4qUqSu2wHKYcw8yti,tz1VMVJgydN868hSSkFr1rGnxsxjxvuqmMMX,4344753410,06-957-2651,Sedona,2024-03-23
Stim,active,failure,fricketts5q,70-271-3453,tz1LrnX6nY2jssQMYkUjXUqmPzkLgMguo2V2,tz1MLTABR9VaGjfEZSztPY8QptP1uS8SrMm8,7294216827,01-025-1413,Geladi,2024-10-22
Lotstring,active,success,afadden5r,33-984-5172,tz1QByJezbZPfEMD8keCcT2GefzH22MWicRj,tz1bLX5GuNMmQQ7JhuMkfho1QF1tXZF99ozh,6842968348,54-049-2986,St Denis,2024-08-12
Solarbreeze,active,failure,vlovat5s,27-928-9409,tz1h8eQidTeLh1HhH7wN6YdJwoKFrawCGLsn,tz1gYmpHeCYQeB7KzfDmj9ViNPFVmWCgbqXR,5576396391,58-534-4661,Zhanjiang,2024-06-03
Toughjoyfax,active,failure,tanfossi5t,80-797-8020,tz1h8SFNMAAv48NFkDuuFX7xXDUzKT9vaktf,tz1RgEyH4uxhcLr5xhib3WzTNGuP534VWd9j,3696222569,28-357-3713,Breda,2024-03-11
Cardguard,inactive,failure,kmatejic5u,57-799-2730,tz1KtABwJ1k8bHgeqTNNA1LGWiA9s7xq4faz,tz1WkTLNhEVhGndohGyNZENVnxqEVfYnT6G3,8837170971,63-879-4060,Ontario,2024-03-20
Aerified,active,failure,qkarby5v,29-588-6764,tz1b6vGEhsa7gCgmnHsKxnoo3Kdfm5RLqTrm,tz1WRU6iNj6kVkKgUyynLcnQcGwZihqqTL2v,0942371852,27-931-8483,Amritsar,2024-05-21
Regrant,inactive,success,bweatherburn5w,12-274-7795,tz1V6vFkBtrQqmuWPNgSBM9dwBgDUBFPewGK,tz1fm1cYAtx8YBAxvJg6APSLLirB5RiCak1n,3507352001,33-577-3999,Ji-Paraná,2024-04-02
Bamity,inactive,success,pjahan5x,68-520-5599,tz1iDu6hqVzqgnQd9fkzVaP6AKiRZoFXWUeW,tz1RzAH3f9FbFrHKx1bx73RZadZkWCiR5LRf,4528054825,36-978-8412,Qikiqtarjuaq,2024-03-02
Sonair,inactive,failure,rvarah5y,18-903-0085,tz1aATUzyyfKXWhJ5eWqRMys3Q24wzqjV1P1,tz1M2mSjnPSJUNEoFFnQ2QkYtfHtacEt2MZB,4946854711,27-854-2389,Emirau Island,2023-11-17
Biodex,active,success,lbernaert5z,74-190-0819,tz1VjtYBomj4WkrGyyEcmc9P7FgfEkkQsTbq,tz1eDQoNZXGv3AoCintiJvXnZ1wRTUuxbQfh,8740825736,44-513-3715,Pakse,2024-02-01
Sonair,active,failure,tlatore60,82-772-7453,tz1c1P3MuxnDDkBcKc3RW4BC4WvWhUoDvBpF,tz1dgJNWJKsfj6GspEvmyN8J9E1eEVXaqTPh,6793669559,72-040-7879,Makkovik,2024-08-20
Span,inactive,failure,acottam61,34-110-9943,tz1SgTx3bjs8wEvAErEijmo9c41dRkWXrePh,tz1cXNtABcYkyVg2j8jvhC7RWC6t7vTZN6mN,3632353670,38-655-2340,Mocímboa da Praia,2024-07-07
Zathin,active,failure,alembke62,24-094-4191,tz1WY1ELBhiyDPenJtHeXYUZJiVdWt9VSs6n,tz1fYP8b4Xf3DkpYAVGwqWEdetVdaGtjWHfd,9590760295,58-348-8930,Ithaca,2024-03-06
Home Ing,active,success,jordish63,16-793-0477,tz1UExf8CgR5nsASXrXzbRiU7LbLBZ89zf1n,tz1eS9zpspU8R8eqne4z9W5rXXxcfbh4ja4d,7553979848,82-815-6013,Porto Alegre,2024-03-18
Tresom,active,failure,afrears64,37-554-6826,tz1VseustgXEdMnw2Eeo78CxvakybjJfJCCL,tz1LJiRAFKggehbm2v6LsP97Vo3zNYZRhQnc,7328533633,79-339-5428,Stuart Island,2024-04-08
Stringtough,active,failure,wwagenen65,37-042-9274,tz1VwNwXfiH3XrutvgFcrTVLJgQQpGLxhZ5o,tz1ReuNNcL6e8CLCZmEvS6Xqu2vS6MFc2bVQ,6643557968,59-206-7618,Xiahe,2024-04-08
Stronghold,inactive,failure,gstaten66,03-666-9186,tz1eCHJCF64FAR4GrPY4QNiZSt7W2z23pbEo,tz1R5xCC72VDZGYQV49Qy9QuXSDmQ1qQFtzo,2431829359,26-311-0188,Coyoles,2024-07-15
Bytecard,inactive,failure,wneville67,50-273-4217,tz1KnMk6AsKLWYpRkz5cC2bdS8RKhLZBsgE1,tz1g3h5Z778nXYigBgUnz8oouTPubBtLKVCk,1098948513,32-870-2403,Matane,2024-01-31
Keylex,inactive,success,hgosse68,47-862-8319,tz1ZKx6Src5p3tVcJWrXzjcCdHMZFcqoGVbz,tz1Z7r9XZzMVWeMHYetqNz6sFFP8RYki9mjT,3299214748,10-481-9045,El Cairo,2024-03-01
Bytecard,active,failure,smacconachy69,26-099-2176,tz1T9WJ85RJbmuwcQyu2QVsEFERMMP8ZDFQj,tz1gFMSZDBcjzsdepr9rCvjnijHwh6LzufW3,4473362345,93-103-9597,Jackson,2024-07-27
Zamit,active,success,fmaase6a,16-701-6361,tz1Yeq7GDCLkT7HNBz3mgeGUyCexzsnPq5zV,tz1ZZf36fhBgJvAVCi11YgtKqAv5R42CTTBR,8405116796,49-854-2024,French Lick,2024-11-07
